2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 133/139: grid_20251201_172119_399864_001329.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 134/139: grid_20251201_172119_399864_001339.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 135/139: grid_20251201_172119_399864_001349.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 136/139: grid_20251201_172119_399864_001359.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 137/139: grid_20251201_172119_399864_001369.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 138/139: grid_20251201_172119_399864_001379.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 139/139: grid_20251201_172119_399864_001389.npy
2025-12-01 17:21:31 | MainThread   | INFO     | ✓ 数据已成功合并: simulation_results\target_0.022_indenter_0.016\grid_20251201_172119_399864.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 文件大小: 2.76 MB
2025-12-01 17:21:31 | MainThread   | INFO     | 柔性体质量: 0.153600 kg
2025-12-01 17:21:32 | MainThread   | INFO     | 合并后的形状: (139, 17, 17, 3, 3)
2025-12-01 17:21:32 | MainThread   | INFO     | 总文件数: 139
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 1/139: grid_20251201_172119_691330_000010.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 2/139: grid_20251201_172119_691330_000019.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 3/139: grid_20251201_172119_691330_000029.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 4/139: grid_20251201_172119_691330_000039.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 5/139: grid_20251201_172119_691330_000049.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 6/139: grid_20251201_172119_691330_000059.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 7/139: grid_20251201_172119_691330_000069.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 8/139: grid_20251201_172119_691330_000080.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 9/139: grid_20251201_172119_691330_000090.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 10/139: grid_20251201_172119_691330_000100.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 11/139: grid_20251201_172119_691330_000110.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 12/139: grid_20251201_172119_691330_000120.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 13/139: grid_20251201_172119_691330_000130.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 14/139: grid_20251201_172119_691330_000140.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 15/139: grid_20251201_172119_691330_000150.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 16/139: grid_20251201_172119_691330_000160.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 17/139: grid_20251201_172119_691330_000170.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 18/139: grid_20251201_172119_691330_000180.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 19/139: grid_20251201_172119_691330_000190.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 20/139: grid_20251201_172119_691330_000200.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 21/139: grid_20251201_172119_691330_000210.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 22/139: grid_20251201_172119_691330_000220.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 23/139: grid_20251201_172119_691330_000230.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 24/139: grid_20251201_172119_691330_000240.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 25/139: grid_20251201_172119_691330_000250.npy
2025-12-01 17:21:32 | MainThread   | INFO     | 已合并文件 26/139: grid_20251201_172119_691330_000260.npy
