2025-12-22 10:58:02 | MainThread   | INFO     | [6.88] 模拟时间:1.06 深度:0.025 弹性变形:-0.1308  执行器力: 1.78 0.41N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.95] 模拟时间:1.07 深度:0.025 弹性变形:-0.1323  执行器力: 1.77 0.41N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [7.02] 模拟时间:1.08 深度:0.025 弹性变形:-0.1338  执行器力: 1.76 0.42N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [7.08] 模拟时间:1.09 深度:0.025 弹性变形:-0.1353  执行器力: 1.75 0.43N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [7.15] 模拟时间:1.10 深度:0.025 弹性变形:-0.1368  执行器力: 1.74 0.44N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [7.23] 模拟时间:1.11 深度:0.025 弹性变形:-0.1383  执行器力: 1.74 0.45N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.29] 模拟时间:1.12 深度:0.025 弹性变形:-0.1398  执行器力: 1.73 0.46N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.37] 模拟时间:1.13 深度:0.025 弹性变形:-0.1414  执行器力: 1.72 0.46N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.44] 模拟时间:1.14 深度:0.025 弹性变形:-0.1429  执行器力: 1.71 0.47N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.50] 模拟时间:1.15 深度:0.024 弹性变形:-0.1445  执行器力: 1.71 0.48N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.57] 模拟时间:1.16 深度:0.024 弹性变形:-0.1461  执行器力: 1.70 0.48N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.65] 模拟时间:1.17 深度:0.024 弹性变形:-0.1477  执行器力: 1.69 0.49N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.73] 模拟时间:1.18 深度:0.024 弹性变形:-0.1493  执行器力: 1.68 0.50N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.80] 模拟时间:1.19 深度:0.024 弹性变形:-0.1509  执行器力: 1.68 0.51N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.87] 模拟时间:1.20 深度:0.024 弹性变形:-0.1525  执行器力: 1.67 0.51N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [7.94] 模拟时间:1.21 深度:0.024 弹性变形:-0.1542  执行器力: 1.66 0.52N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [8.01] 模拟时间:1.22 深度:0.024 弹性变形:-0.1558  执行器力: 1.66 0.53N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [8.08] 模拟时间:1.23 深度:0.024 弹性变形:-0.1575  执行器力: 1.65 0.53N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [8.15] 模拟时间:1.24 深度:0.024 弹性变形:-0.1592  执行器力: 1.64 0.54N 速度: -0.0100m/s
2025-12-22 10:58:03 | MainThread   | INFO     | [8.24] 模拟时间:1.25 深度:0.023 弹性变形:-0.1611  执行器力: 1.63 0.55N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.31] 模拟时间:1.26 深度:0.023 弹性变形:-0.1630  执行器力: 1.62 0.56N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.38] 模拟时间:1.27 深度:0.023 弹性变形:-0.1648  执行器力: 1.62 0.57N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.46] 模拟时间:1.28 深度:0.023 弹性变形:-0.1666  执行器力: 1.61 0.57N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.53] 模拟时间:1.29 深度:0.023 弹性变形:-0.1683  执行器力: 1.60 0.58N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.60] 模拟时间:1.30 深度:0.023 弹性变形:-0.1701  执行器力: 1.60 0.59N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.67] 模拟时间:1.31 深度:0.023 弹性变形:-0.1719  执行器力: 1.59 0.59N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.74] 模拟时间:1.32 深度:0.023 弹性变形:-0.1737  执行器力: 1.59 0.60N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.81] 模拟时间:1.33 深度:0.023 弹性变形:-0.1756  执行器力: 1.58 0.60N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.89] 模拟时间:1.34 深度:0.023 弹性变形:-0.1774  执行器力: 1.57 0.61N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [8.96] 模拟时间:1.35 深度:0.022 弹性变形:-0.1793  执行器力: 1.57 0.61N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [9.03] 模拟时间:1.36 深度:0.022 弹性变形:-0.1811  执行器力: 1.56 0.62N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [9.10] 模拟时间:1.37 深度:0.022 弹性变形:-0.1829  执行器力: 1.56 0.63N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [9.18] 模拟时间:1.38 深度:0.022 弹性变形:-0.1847  执行器力: 1.55 0.63N 速度: -0.0100m/s
2025-12-22 10:58:04 | MainThread   | INFO     | [9.25] 模拟时间:1.39 深度:0.022 弹性变形:-0.1866  执行器力: 1.55 0.64N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.32] 模拟时间:1.40 深度:0.022 弹性变形:-0.1884  执行器力: 1.54 0.64N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.39] 模拟时间:1.41 深度:0.022 弹性变形:-0.1903  执行器力: 1.54 0.65N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.46] 模拟时间:1.42 深度:0.022 弹性变形:-0.1921  执行器力: 1.53 0.65N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.54] 模拟时间:1.43 深度:0.022 弹性变形:-0.1940  执行器力: 1.53 0.66N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.62] 模拟时间:1.44 深度:0.022 弹性变形:-0.1959  执行器力: 1.52 0.66N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.70] 模拟时间:1.45 深度:0.021 弹性变形:-0.1978  执行器力: 1.52 0.67N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.78] 模拟时间:1.46 深度:0.021 弹性变形:-0.1997  执行器力: 1.51 0.67N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.86] 模拟时间:1.47 深度:0.021 弹性变形:-0.2016  执行器力: 1.51 0.68N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [9.93] 模拟时间:1.48 深度:0.021 弹性变形:-0.2036  执行器力: 1.50 0.68N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [10.01] 模拟时间:1.49 深度:0.021 弹性变形:-0.2055  执行器力: 1.50 0.68N 速度: -0.0100m/s
2025-12-22 10:58:05 | MainThread   | INFO     | [10.08] 模拟时间:1.50 深度:0.021 弹性变形:-0.2075  执行器力: 1.49 0.69N 速度: -0.0100m/s
