2025-12-25 22:28:14 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=2
2025-12-25 22:28:32 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=3
2025-12-25 22:28:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=4
2025-12-25 22:28:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=5
2025-12-25 22:29:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=1
2025-12-25 22:29:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=2
2025-12-25 22:29:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=3
2025-12-25 22:29:55 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=4
2025-12-25 22:30:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=5
2025-12-25 22:30:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=1
2025-12-25 22:30:34 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=2
2025-12-25 22:30:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=3
2025-12-25 22:30:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=4
2025-12-25 22:30:59 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020, TYPE=5
2025-12-25 22:31:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=1
2025-12-25 22:31:09 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=2
2025-12-25 22:31:10 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=3
2025-12-25 22:31:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=4
2025-12-25 22:31:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=5
2025-12-25 22:31:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=1
2025-12-25 22:31:43 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=2
2025-12-25 22:31:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=3
2025-12-25 22:32:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=4
2025-12-25 22:32:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010, TYPE=5
2025-12-25 22:32:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=1
2025-12-25 22:32:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=2
2025-12-25 22:32:37 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=3
2025-12-25 22:33:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=4
2025-12-25 22:33:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000, TYPE=5
2025-12-25 22:33:54 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=1
2025-12-25 22:33:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=2
2025-12-25 22:34:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=3
2025-12-25 22:34:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=4
2025-12-25 22:34:49 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000, TYPE=5
2025-12-25 22:35:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=1
2025-12-25 22:35:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=2
2025-12-25 22:35:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=3
